newid,id,accuracy,,bad
0,3,0.4106858054,m,1
1,4,0.7246732026,f,
2,5,0.7858376511,f,
3,6,0.6089385475,f,
4,7,0.8279569892,m,
5,8,0.3712962963,f,1
6,9,0.6139028476,m,
7,10,0.8264248705,f,
8,12,0.635986733,f,
9,13,0.6452762923,m,
10,14,0.5460784314,m,
11,15,0.5775193798,m,
12,16,0.6937602627,m,
13,17,0.097985348,m,1
14,18,0.683908046,f,
15,19,0.6417112299,f,
16,20,0.2801932367,m,1
17,21,0.7029795158,m,
18,22,0.6103174603,m,
19,23,0.533496732,m,
20,24,0.649122807,m,
21,25,0.650092081,f,
22,26,0.7684729064,m,
23,27,0.8056994819,f,
24,28,0.7331460674,f,
25,29,0.3888888889,m,1
26,30,0.7956448911,f,
27,31,0.6032608696,m,
28,32,0.6286407767,m, 
29,33,0.4802405498,f, 
30,34,0.8079526227,m, 
31,35,0.4822695035,m, 
32,36,0.816399287,f,
33,37,0.5741666667,f,
34,38,0.7487309645,f,
35,39,0.6788194444,f,
36,40,0.6701388889,m,
37,41,0.6968954248,f,
38,42,0.7515873016,m,
39,43,0.5852359209,f,
40,44,0.4980276134,m,
41,45,0.6258865248,f,
42,46,0.6994818653,f,
43,47,0.7503987241,m,
44,48,0.7105654762,f,
45,49,0.8247863248,f,
